Timestamp,Flow Duration,Protocol,Src IP,Dst IP,Src Port,Dst Port,Tot Fwd Pkts,Tot Bwd Pkts,Flow Byts/s,Flow Pkts/s,Pkt Len Mean,Pkt Len Std,Pkt Len Max,Pkt Len Min,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Fwd Pkt Len Max,Fwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,SYN Flag Cnt,ACK Flag Cnt,FIN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,URG Flag Cnt,ECE Flag Cnt,CWR Flag Cnt,Init Fwd Win Byts,Init Bwd Win Byts,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Fwd Bytes/Bulk,Fwd Pkts/Bulk,Bwd Bytes/Bulk,Bwd Pkts/Bulk,Subflow Fwd Pkts,Subflow Bwd Pkts,Subflow Fwd Byts,Subflow Bwd Byts,Label,detailed_label,parent_label
1772969333.14476,0.7974040508270264,6,192.168.6.36,54.73.155.55,49256,443,11,11,12477.990285703181,27.589526259846227,452.27272727272725,572.6381872583189,1514,54,0.03797162146795364,0.077429359688195,0.24495911598205566,0.0,0.07974040508270264,0.10359926903662653,0.2497861385345459,4.00543212890625e-05,0.058356285095214844,0.09649685844149046,0.24832797050476074,0.0,139.1818181818182,164.42190741006394,571,54,765.3636363636364,667.7790462012525,1514,54,2,21,2,1,9,0,0,0,65535,35844,0.7974040508270264,0.0,0.7974040508270264,0.7974040508270264,0.0,0.0,0.0,0.0,1531,11,8419,11,11.0,11.0,1531.0,8419.0,unknown,unknown,unknown
1772969336.816884,1.3490989208221436,6,192.168.6.36,34.255.218.244,61730,443,9,12,6060.3413684576435,15.565945295696004,389.3333333333333,524.3553502476477,1514,54,0.06745494604110717,0.09964453886331065,0.28274011611938477,0.0,0.14918175339698792,0.1292394140682828,0.30706310272216797,0.00017213821411132812,0.09916318546641957,0.11959091948484243,0.3072330951690674,0.0,221.77777777777777,239.39756566106607,659,54,515.0,646.550426916149,1514,54,2,20,2,0,7,0,0,0,65535,26883,1.3490989208221436,0.0,1.3490989208221436,1.3490989208221436,0.0,0.0,0.0,0.0,1996,9,6180,12,9.0,12.0,1996.0,6180.0,unknown,unknown,unknown
1772969338.08203,45.508517026901245,6,192.168.6.36,35.208.249.213,51212,443,2,2,5.31768591485738,0.08789563495632033,60.5,6.3508529610858835,66,55,15.169505675633749,25.847600649184425,45.01574397087097,0.24437713623046875,45.264139890670776,0.0,45.264139890670776,45.264139890670776,45.26012110710144,0.0,45.26012110710144,45.26012110710144,55.0,0.0,55,55,66.0,0.0,66,66,0,4,0,0,0,0,0,0,251,1045,0.24638652801513672,0.0028417091139985194,0.2483959197998047,0.24437713623046875,45.01574397087097,0.0,45.01574397087097,45.01574397087097,0,0,0,0,1.0,1.0,55.0,66.0,unknown,unknown,unknown
1772969338.09705,45.06059503555298,6,192.168.6.36,34.144.254.29,59542,443,2,2,5.548084746833659,0.08876935594933855,62.5,8.660254037844387,70,55,15.020198345184326,25.98144679005174,45.02098894119263,0.019680023193359375,45.04091501235962,0.0,45.04091501235962,45.04091501235962,45.040668964385986,0.0,45.040668964385986,45.040668964385986,55.0,0.0,55,55,70.0,0.0,70,70,0,4,0,0,0,0,0,0,254,1022,0.01980304718017578,0.00017398219065297056,0.019926071166992188,0.019680023193359375,45.02098894119263,0.0,45.02098894119263,45.02098894119263,0,0,0,0,1.0,1.0,55.0,70.0,unknown,unknown,unknown
1772969338.149506,3.996445894241333,17,192.168.6.36,35.199.128.3,53933,443,11,0,3263.9000615010737,2.7524456207077437,1185.8181818181818,352.1652504668279,1292,124,0.3996445894241333,0.6056016526673431,1.877734899520874,2.8133392333984375e-05,0.3996445894241333,0.6056016526673431,1.877734899520874,2.8133392333984375e-05,0.0,0.0,0.0,0.0,1185.8181818181818,352.1652504668279,1292,124,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1.0593554973602295,0.8186350973664991,1.6382179260253906,0.48049306869506836,1.877734899520874,0.0,1.877734899520874,1.877734899520874,13044,11,0,0,5.5,0.0,6522.0,0.0,unknown,unknown,unknown
1772969338.165628,1.090088129043579,6,192.168.6.36,34.255.218.244,61820,443,9,12,7087.500353552729,19.26449746629657,367.9047619047619,501.8091175698091,1514,54,0.05450440645217895,0.08331300676195832,0.23903298377990723,0.0,0.11727774143218994,0.100525252141648,0.24111580848693848,0.00015497207641601562,0.08508719097484242,0.10037878791942893,0.2459111213684082,0.0,217.11111111111111,228.70583969612824,609,54,481.0,622.2877148072264,1514,54,2,20,2,0,7,0,0,0,65535,26883,1.090088129043579,0.0,1.090088129043579,1.090088129043579,0.0,0.0,0.0,0.0,1954,9,5772,12,9.0,12.0,1954.0,5772.0,unknown,unknown,unknown
1772969338.377903,8.002113103866577,1,35.199.128.3,192.168.6.36,0,0,19,0,175.7035900080728,2.3743728379469298,74.0,0.0,74,74,0.44456183910369873,0.6277372453482016,1.8785459995269775,6.198883056640625e-05,0.44456183910369873,0.6277372453482016,1.8785459995269775,6.198883056640625e-05,0.0,0.0,0.0,0.0,74.0,0.0,74,74,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.7676078081130981,0.892855300898311,1.6669061183929443,0.0,1.6438939571380615,0.3757981032254139,1.8785459995269775,1.210453987121582,1406,19,0,0,4.75,0.0,351.5,0.0,unknown,unknown,unknown
1772969339.098813,75.23493194580078,6,192.168.6.36,20.250.119.64,51648,443,4,5,7.642726392232664,0.119625282661033,63.888888888888886,13.724471250693453,93,54,9.404366493225098,17.754153184415593,45.01098895072937,0.0,25.07831064860026,22.894571195658923,45.15057682991028,0.14286589622497559,18.772698283195496,22.483445135277904,45.146329164505005,0.0,54.5,0.5773502691896257,55,54,71.4,14.758048651498612,93,54,0,9,2,1,2,0,0,0,255,104,0.14175939559936523,0.007736972118667079,0.15035009384155273,0.13534021377563477,37.40482687950134,10.756737558738507,45.01098895072937,29.798664808273315,218,4,357,5,1.3333333333333333,1.6666666666666667,72.66666666666667,119.0,unknown,unknown,unknown
1772969339.133584,1.1159300804138184,6,192.168.6.36,34.255.218.244,61889,443,11,13,8745.171558043392,21.506723782461464,406.625,554.9571712812816,1514,54,0.04851869914842689,0.08148310750714563,0.2232520580291748,0.0,0.0919827938079834,0.09712852961382545,0.22712016105651855,4.100799560546875e-05,0.08003991842269897,0.10037123486068879,0.22655797004699707,0.0,177.8181818181818,193.73632503060347,571,54,600.2307692307693,685.8683248075821,1514,54,2,23,2,0,7,0,0,0,65535,26883,1.1159300804138184,0.0,1.1159300804138184,1.1159300804138184,0.0,0.0,0.0,0.0,1956,11,7803,13,11.0,13.0,1956.0,7803.0,unknown,unknown,unknown
1772969339.377209,0.4607241153717041,17,192.168.6.36,34.144.254.29,59559,443,11,10,26139.287261496873,45.58042285904129,573.4761904761905,552.6006350926154,1296,69,0.023036205768585206,0.05828454939262877,0.26403117179870605,0.0,0.04205470085144043,0.0953484947280594,0.30963802337646484,0.00011491775512695312,0.049190680185953774,0.0913225898235016,0.28125,0.0,603.8181818181819,578.0162312914437,1292,75,540.1,552.2735735122585,1296,69,0,0,0,0,0,0,0,0,0,0,0.4607241153717041,0.0,0.4607241153717041,0.4607241153717041,0.0,0.0,0.0,0.0,6642,11,5401,10,11.0,10.0,6642.0,5401.0,unknown,unknown,unknown
